Tue May 30 15:33:59 2017    log_profile.txt

         54517750 function calls (54291806 primitive calls) in 33.988 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       22    0.001    0.000    0.012    0.001 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/collections/__init__.py:356(namedtuple)
        1    0.000    0.000    0.012    0.012 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axes/_axes.py:1821(bar)
  258/103    0.005    0.000    0.012    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/sre_parse.py:491(_parse)
        1    0.000    0.000    0.011    0.011 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/transforms.py:30(<module>)
       96    0.000    0.000    0.011    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/markers.py:148(__init__)
      445    0.002    0.000    0.011    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/path.py:103(__init__)
    16/14    0.000    0.000    0.010    0.001 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axis.py:545(_get_tick2line)
    16/14    0.000    0.000    0.010    0.001 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axis.py:396(_get_tick1line)
      558    0.004    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/inspect.py:2065(_signature_from_function)
       10    0.000    0.000    0.010    0.001 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axes/_base.py:1765(add_patch)
        1    0.000    0.000    0.010    0.010 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/pyparsing.py:5353(pyparsing_common)
       96    0.000    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/lines.py:1095(set_marker)
