Tue May 30 15:47:07 2017    log_profile.txt

         49575723 function calls (49349779 primitive calls) in 32.689 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   136/96    0.000    0.000    0.014    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/spines.py:404(get_spine_transform)
       96    0.000    0.000    0.014    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/sre_parse.py:819(parse)
      192    0.001    0.000    0.014    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/markers.py:233(set_marker)
   144/96    0.000    0.000    0.013    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/spines.py:148(_ensure_position_is_set)
        8    0.000    0.000    0.013    0.002 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/spines.py:359(set_position)
        4    0.000    0.000    0.013    0.003 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/spines.py:154(register_axis)
       22    0.001    0.000    0.013    0.001 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/collections/__init__.py:356(namedtuple)
      558    0.002    0.000    0.013    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/inspect.py:2146(_signature_from_callable)
   210/96    0.001    0.000    0.013    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/sre_parse.py:429(_parse_sub)
        2    0.000    0.000    0.012    0.006 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axis.py:625(__init__)
        1    0.000    0.000    0.012    0.012 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/tempfile.py:24(<module>)
        1    0.000    0.000    0.012    0.012 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/transforms.py:30(<module>)
        1    0.000    0.000    0.012    0.012 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/email/message.py:5(<module>)
  258/103    0.005    0.000    0.012    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/sre_parse.py:491(_parse)
      192    0.000    0.000    0.012    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/markers.py:208(set_fillstyle)
        1    0.000    0.000    0.011    0.011 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/shutil.py:5(<module>)
        1    0.000    0.000    0.011    0.011 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axes/_axes.py:1821(bar)
    16/14    0.000    0.000    0.011    0.001 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axis.py:396(_get_tick1line)
      558    0.005    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/inspect.py:2065(_signature_from_function)
       96    0.000    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/sre_compile.py:516(_code)
        1    0.000    0.000    0.010    0.010 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/pyparsing.py:5353(pyparsing_common)
        1    0.000    0.000    0.010    0.010 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/ssl.py:88(<module>)
    16/14    0.000    0.000    0.010    0.001 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axis.py:530(_get_tick1line)
